Keyword,Intent,Volume,Keyword Difficulty,CPC (GBP),SERP Features
windows 11 upgrade key,"Informational, Transactional",20,33,1.07,"Site links, Reviews, Video, Video carousel, People also ask, Related searches, Shopping ads, Ads bottom"
windows 11 upgrade to pro,Informational,20,30,1.00,"Site links, Reviews, Video, People also ask, Related searches, Shopping ads"
windows 11 upgrade to professional,Informational,0,28,1.00,"Site links, Reviews, Video, People also ask, Related searches"
windows 11 upgrade license,Informational,20,30,0.99,"Site links, Reviews, Image pack, Video, People also ask, Related searches, Shopping ads"
windows 11 upgrade from home to pro,"Informational, Transactional",20,33,0.91,"Site links, Reviews, Video, People also ask, Related searches, Shopping ads"
windows 11 upgrade home to pro,Informational,20,34,0.89,"Site links, Reviews, Video, People also ask, Related searches, Shopping ads"
windows 11 upgrade pro,"Informational, Transactional",10,31,0.86,"Site links, Reviews, Video, People also ask, Related searches, Popular products, Shopping ads"
windows 11 upgrade professional,"Informational, Transactional",10,35,0.86,"Site links, Reviews, Video, People also ask, Related searches, Shopping ads"
windows 11 upgrade from windows 10,Informational,320,62,0.85,"Reviews, Video, People also ask, Related searches"
windows 10 to windows 11 upgrade,Informational,140,55,0.79,"Video, People also ask, Related searches"
windows 11 upgrade,Informational,1600,84,0.64,"Site links, Reviews, Video, People also ask, Related searches, Ads top"
windows 11 upgrade cost,Informational,20,57,0.56,"Featured snippet, Site links, Reviews, Video, People also ask, Related searches"
cost of windows 11 upgrade,Informational,20,47,0.45,"Featured snippet, Site links, Reviews, Video, People also ask, Related searches, Shopping ads"
free windows 11 upgrade,Informational,320,51,0.43,"Site links, Reviews, Video, People also ask, Related searches"
